BBB Time,Weeks,Secs,,,,,,,,
02:27.7,2156,511876200,,,0.115740741,0.1,,,,
02:27.8,2156,511876300,,,0.115740741,0.1,,,,
02:27.9,2156,511876400,,,0.115740741,0.1,,,,
02:28.0,2156,511876500,,,0.116898148,0.1,,,,
02:28.1,2156,511876600,,,0.112268519,0.1,,,,
02:28.2,2156,511876700,,,0.114583333,0.1,,,,
02:28.3,2156,511876800,,,0.115740741,0.1,,,,
02:28.4,2156,511876900,,,0.114583333,0.1,,,,
02:28.5,2156,511877000,,,0.115740741,0.1,,,,
02:28.6,2156,511877100,,,0.118055556,0.1,,,,
02:28.7,2156,511877200,,,0.114583333,0.1,,,,
02:28.8,2156,511877300,,,0.112268519,0.1,,,,
02:28.9,2156,511877400,,,0.115740741,0.1,,,,
02:29.0,2156,511877500,,,0.159722222,0.1,,,,
02:29.1,2156,511877600,,,0.074074074,0.1,,,,
02:29.2,2156,511877700,,,0.114583333,0.1,,,,
02:29.3,2156,511877800,,,0.114583333,0.1,,,,
02:29.4,2156,511877900,,,0.111111111,0.1,,,,
02:29.5,2156,511878000,,,0.12037037,0.1,,,,
02:29.6,2156,511878100,,,0.113425926,0.1,,,,
02:29.7,2156,511878200,,,0.111111111,0.1,,,,
02:29.8,2156,511878300,,,0.119212963,0.1,,,,
02:29.9,2156,511878400,,,0.112268519,0.1,,,,
02:30.0,2156,511878500,,,0.114583333,0.1,,,,
02:30.1,2156,511878600,,,0.114583333,0.1,,,,
02:30.2,2156,511878700,,,0.114583333,0.1,,,,
02:30.3,2156,511878800,,,0.115740741,0.1,,,,
02:30.4,2156,511878900,,,0.114583333,0.1,,,,
02:30.5,2156,511879000,,,0.115740741,0.1,,,,
02:30.6,2156,511879100,,,0.118055556,0.1,,,,
02:30.7,2156,511879200,,,0.111111111,0.1,,,,
02:30.8,2156,511879300,,,0.114583333,0.1,,,,
