BBB Time,Mag Vals,Lamor,,,
09:12.3,66437.484,410,,,0.115740741
09:12.4,66436.638,388,,,0.116898148
09:12.5,66436.518,398,,,0.115740741
09:12.6,66437.003,410,,,0.115740741
09:12.7,66435.947,371,,,0.115740741
09:12.8,66437.509,383,,,0.116898148
09:12.9,66437.153,420,,,0.115740741
09:13.0,66436.698,393,,,0.115740741
09:13.1,66439.346,378,,,0.115740741
09:13.2,66437.694,381,,,0.116898148
09:13.3,66435.827,408,,,0.115740741
09:13.4,66437.183,432,,,0.115740741
09:13.5,66437.269,408,,,0.115740741
09:13.6,66435.557,417,,,0.116898148
09:13.7,66436.763,405,,,0.115740741
09:13.8,66437.99,396,,,0.115740741
